4.5294024548 3.7635500893   10.9236461114 10.6149645423   1.0827617517 -0.7827678468   16.8549104541 15.5037337671   10.2400509720 9.9637101901   -0.1890149528 0.1540814801   9.8999730727 10.7270919501   3.5874933201 5.2250399088   11.6144572904 8.9977449562   3.9082420183 2.4638716488   13.5845150188 16.1348963719   12.4957548592 11.7884956833   3.6688507658 2.6799320549   3.1223196118 2.9442070818   12.9784336253 12.9809032841   6.9260421892 5.8074164372   3.6013348060 2.6347783260   12.3113475819 13.3686740506   0.9652447651 0.7668794850   10.1977672519 9.2179949794   10.5069113869 10.6288301136   2.4539613277 4.2214226407   5.9939032376 6.7951588539   6.5247313060 6.2664533886   10.5041822343 9.7352147049   2.1854229051 3.5530049266   13.9649740924 13.4348979666   -0.3874910612 -0.1995496967   5.2540189878 5.1211785673   12.1025344443 13.7028364165   15.6544203887 16.2785227487   2.5640157922 2.0402739307   15.6366014340 14.9403939307   6.3638218745 5.5550349800   14.1696670949 12.4621332929   8.3237915442 9.0991044550   1.2621341088 4.3597813848   9.5441825771 9.7029274731   9.9094484888 9.2819171809   16.1679726472 14.2329464027   3.1127234597 2.4216834050   3.7414193678 3.8442931632   10.1970389106 9.7277960811   0.4163960382 1.7843557590   14.7258445943 16.5583558490   0.6660856955 1.0819535549   3.7101416228 3.6537573614   16.2251506704 15.2566106058   12.6376714528 12.6339832262   10.1534353316 11.5972275538   0.9460847869 -0.9473010448   3.5282772064 1.8814787629   15.2481441350 14.7776727144   16.1508764220 16.7011809027   4.3717794417 2.2380022952   9.3801844792 10.3287592542   14.0443708326 12.9273566263   2.2127861574 2.6777770441   8.7961468076 10.2618877671   2.4632615919 2.4426606975   11.3039296661 13.7206075870   2.8140553510 1.9014789505   8.8363601951 9.6022368258   -0.2111865371 0.4709874110   15.6025475577 16.2879159220   16.9538615981 16.1373554307   13.0436646286 13.7218360569   2.7817034878 2.6228717173   2.1970798881 1.7813906780   16.5601234425 15.6047243421   3.4939857412 2.0820395300   12.5550495644 12.9766064678   3.0813729026 2.9069821221   15.5715714895 18.3811808901   9.8736005545 9.4681576363   2.7698068075 2.1136153418   3.3190931987 0.7505703935   13.3302291599 13.4975292507   10.3384840328 9.8525582711   13.1205408493 11.2412968081   1.8681035245 2.5784912977   11.1921818567 9.9742592369   10.3686304636 11.3661026442   12.6025513531 12.8449475070   11.6312391010 14.2607566499   3.9607299117 1.4009431886   10.4563672998 9.3857350091   -0.3715597510 -1.0068600797   15.9053109082 16.5649706880   14.0465526073 12.2894391385   7.3238389729 5.5192701894   1.6310614434 -0.2503232867   10.8564798718 14.1522087011   12.8595053171 12.6294588424   11.8660620899 13.7126091541   -0.5047152271 0.5026193321   12.1090952160 12.5993843891   3.6220780913 3.5912896399   4.7769997050 7.0380994049   12.4523233035 13.2972904825   

5.1886255365 7.3336494911   2.8887803651 2.2976952272   13.8897452678 12.6079745914   0.6320053873 -0.4289208622   15.2237305582 17.5520665289   -0.7629994666 -0.2413977973   16.0949325478 15.4596860747   5.4229783837 4.1811065079   13.2715521296 14.3555576902   -0.1441519255 -0.1859797215   12.0194434192 10.2657719780   1.2011077169 1.2945755992   5.8160165164 6.9281326075   6.7697080807 5.1307392563   13.7082112385 11.8701724789   5.8754784684 6.5459031925   12.4948439275 12.4161845436   0.4754805943 3.4379884806   13.0757262348 14.5367507825   2.1685558405 3.4118396982   14.2075938541 11.6231518958   4.0733960811 3.3777019340   13.6806962302 14.2669356479   0.2422454218 -0.3350404685   12.3964677500 14.7332186717   11.8041568828 11.5081984250   -0.0057936089 0.4644142108   12.5317049496 13.1619308686   4.5839777235 3.5384649067   10.1939720191 10.5349238337   3.1214788861 3.8820025563   13.2945021885 14.0388791741   2.6574599491 2.1639225769   3.0539813920 2.4676409131   8.8815442062 10.5981454762   -0.8868492049 0.1193363146   15.9836817699 17.0076376142   -0.0972630165 0.6538554737   13.8785067488 13.9607241722   3.6371887809 2.5417779213   -0.5781249080 -1.2252193633   12.8437187898 12.7111312049   7.0873874257 6.1147240862   14.3782426735 12.9850813284   1.9864330679 3.0373889838   3.0102139205 4.1730801211   0.0105613148 1.0486715214   12.4291972375 13.4169065999   13.6296454353 11.8645605354   10.0405055603 11.4383087031   3.3581807502 2.7809267935   14.2550743355 13.2337876311   -0.1787274079 0.1783868866   9.4152710770 8.7637566907   4.9316137522 6.8045267749   5.4847553631 5.9150952870   6.9112505580 7.3343020644   14.7479328196 12.9910708017   13.6587538161 13.5779379732   9.3772080558 11.8062343721   2.1474476977 2.8500227431   13.1769598168 11.7452285905   7.8092966306 6.6184010456   10.8732062004 9.8537337184   3.1322332863 1.9378814313   10.1059278017 10.2151443134   10.5234865075 9.2659442091   13.6095192670 11.9595780045   12.3894206457 12.5396025913   12.1536174140 12.7683379949   0.4129316181 -1.5023349709   3.4295465908 4.0713915908   9.4738770895 8.9982430544   2.9358107000 3.0907071566   10.0391804004 9.9501796586   9.6119742279 9.9306132404   3.3669867383 3.1155241878   17.4203227548 14.2824702086   1.9755144216 3.6480822130   4.2606014572 5.3018131022   9.6541494603 9.9064818630   11.0179014262 9.1302941614   2.8777241121 2.6924360889   0.1922650051 -0.2412210240   16.4419005019 15.5532527806   0.5261460374 0.3376949972   9.6229762148 9.9660097208   3.0733656655 3.4943176747   2.2902902905 4.0812416944   9.4998460601 8.8942228396   -0.3424284404 1.2563180373   14.2526500997 13.4969988588   0.3257778940 -0.1178393462   18.1896703288 15.3841539279   6.1952778895 5.8928954145   15.2601355273 13.0886711730   12.7747674892 11.9608451829   12.1748615942 15.0161348805   1.6594145026 3.0263418010   16.4899773217 15.0046137864   

3.1168279809 3.6064141461   10.3674146622 10.0829832760   3.7752964815 3.1272570766   10.6298716993 10.2784931997   14.9434720714 11.3425905885   0.7498070671 0.3720214258   15.7779113061 14.8440902992   13.0254903930 13.5618445398   9.4407002083 9.8803246021   13.6002935090 11.0848366224   1.7703737913 2.7966968829   16.3646376998 15.3768316347   2.9967659731 4.2592038713   2.6933668444 2.1184744281   11.0088829352 9.8726202967   5.5445412571 5.6921937692   13.5533550231 13.1529202198   3.1124796314 3.0829799381   2.9126388509 2.9552377016   10.2589228610 8.4407574861   6.6870024181 6.1479114352   13.7822914638 11.9485499769   9.9653873651 9.6813523928   7.1801471848 5.7591091941   16.0846552609 14.8593725587   10.0491264890 10.0578924155   2.4154538921 1.7702063233   13.8431856478 11.7932076492   10.7527042924 10.4395571781   7.5333956593 7.4287108117   7.9530201565 6.6105864756   -0.4516621444 0.3929688796   10.7208546879 11.5923870029   12.2144356095 13.6049250755   11.9697760185 11.5154683244   -0.3547300137 -0.0870270190   16.7239432889 15.7190220356   3.7990479486 3.2092594734   4.3811078421 4.0946894937   3.6771046465 3.7529673368   14.3719867265 15.5117642637   -1.3160001687 -0.0363576110   13.3962196236 12.9239001408   9.3762966393 9.5510739112   6.6543857112 5.3698347760   11.0808545059 11.4245858370   9.1743226591 9.9227556562   -0.6591159592 0.0502729639   14.2247533521 13.8184356075   3.0474043732 3.5370149386   12.6337943498 12.6234912890   2.1262284996 2.9290530048   9.2488875742 10.6675940061   3.8729062603 2.3267600142   0.3031441622 0.8772898015   2.6246637012 4.6112168190   13.9587360984 12.5211308819   10.7450583077 10.4750099959   6.3079431330 6.2289620401   11.9927760539 13.1071057968   3.1410886376 2.1123359639   16.2198769482 15.4566918925   1.5813308313 -1.0583971852   17.3203138672 15.9850371314   12.7523573330 12.1434022485   2.4733473813 2.4069933829   12.9222674164 13.0962152027   13.4006575587 12.9213624045   10.0877874631 9.0275934075   0.0065507880 -1.5673787225   13.3254863503 14.2201933902   2.9370855946 2.2578604616   13.0124653720 11.4710473682   9.2643183894 10.4708815457   12.8263202609 11.9603471918   4.6031986633 5.9563494933   -0.1502124351 0.4725830129   14.5298951777 17.0376007075   -0.2368326675 0.7870611466   16.7240629132 17.2351795466   -1.8187428339 0.6324929393   10.9332870936 10.4505973818   7.1701936009 7.5955961606   11.4045019720 13.0927006371   -0.5249815907 -0.1688387398   12.8919427760 10.6185069815   6.4706804976 5.5305306021   13.2134232143 13.4261164854   13.8444428133 13.3203648601   13.8644876289 13.5026208868   4.9394784760 5.7910835763   3.1966865840 2.5788039292   -0.4071827016 -0.7473134648   10.5136326048 10.2833318844   -0.1535172787 -0.6867792474   16.7292417800 16.6238067918   2.7592802915 2.3193077605   -0.6915235004 -0.3618915885   2.9091960489 3.4811901305   10.0325152614 9.0655857795   

-1.1504872787 0.8928991033   16.3297995430 15.8024660652   2.0965480411 2.5051608799   10.3900822492 10.1356757902   6.8232080212 6.7953923608   2.1568794866 3.4728728520   11.4991420420 14.6749386674   10.1026555395 10.2326308467   2.3682889461 3.0425351275   -1.2408507949 -1.6650275263   14.8363653447 12.1772486195   2.3972800276 2.0194317570   13.6784695757 11.6907241390   3.6702090817 2.0947769291   13.7355214867 15.3940156341   5.7216485781 4.5053518584   16.6868169822 15.6043068789   -0.0329308862 0.1229947959   14.5077409181 13.0224998150   2.9219299741 3.2221477285   3.6734969703 4.2414063668   9.2587333666 9.5668796041   3.3844585832 2.8410419174   1.8561455772 0.1419602075   -0.4465048843 0.4065074933   0.8728471088 0.9941710561   10.9062942563 9.7371741766   0.0712664149 -0.6131425052   11.4433053137 13.1955406151   12.2849238278 13.3680331192   14.3621491902 16.7208801210   6.3379999192 4.7208679341   10.1664539068 9.7038590567   6.5024439583 5.3622777993   13.7401741849 15.3550483685   -1.0071072523 0.0468167260   1.7845820565 3.7315097569   13.1522317340 12.5841808172   3.6254592213 2.2996328344   1.9300613948 2.5067063704   10.4702039568 9.7676634905   4.4653261069 5.9527788972   11.1490388746 9.6226248788   12.9287284716 13.1247941816   12.7755144069 14.6163024957   0.4674138243 -0.7590489980   13.5351405744 12.9948185605   12.6186907110 14.1326654414   2.5364434350 2.3333605067   11.8379378619 12.3904017585   12.4832330626 13.7306114213   6.9861010293 6.0949796204   13.2793596365 13.7969572533   6.3298398771 5.6733834645   1.8744839896 3.7846548746   2.7663564367 2.7257213818   3.8892097175 2.6961525314   13.0425270859 13.2818376522   0.6978932299 -0.9432813415   14.4429779513 13.6110685809   11.9189904664 11.0021207419   0.3280618091 0.4848946261   12.2766678352 12.9728825976   2.5031668502 3.1391851161   8.8465980703 10.5001999815   14.3907607071 11.5328456384   4.1563593193 3.8270786336   3.3333283770 3.5686109693   14.1885402669 13.7516999086   3.0071456819 3.3774101927   17.2475411679 16.1138044191   2.5602631780 2.3910516292   13.0073241941 14.7876283856   6.5046211329 7.6391646810   -0.7772093908 -0.0336952594   2.5941842720 4.0281481030   2.9675272538 2.4880305935   14.9179783346 13.6344115566   6.4693267774 6.0495914880   2.5932712803 2.9602936890   16.0433177772 15.4916343734   1.4976520498 -0.2243555910   13.3592104527 13.6348300127   0.2847164476 0.1798251299   -0.2256844343 -0.0079107955   12.7331404661 13.0916771026   11.8117021869 13.1063265600   0.0000816566 0.2046627200   13.9307493519 11.4106365395   8.9890184551 9.8511145014   7.5820010261 6.1015317081   13.3737853993 14.3720729352   3.5038045425 2.5809854817   10.1293835599 8.5498685247   10.4998888570 10.4399243932   1.7788864101 2.9126625757   0.8139419335 0.1637035066   14.2121671084 12.5257716451   5.2476976105 6.0974034922   13.0494415673 13.6853704726   

-0.7091763021 0.4277364042   12.8006531818 12.4125152011   9.1159192647 10.1549377953   2.8769753218 2.7748435091   14.2042907304 16.6193954925   -0.0987881080 -0.7485383652   12.8213450754 13.4776024894   6.4322877828 5.7136460138   2.1997033634 3.4033060277   12.3649581170 14.0142894148   3.5464926950 2.8115750816   12.5707198602 12.0399597515   11.7592872175 12.4981634898   -0.5951978959 0.5398653672   16.0247227597 16.0397482176   2.5002189628 2.7388674107   9.0391511223 9.4510478942   -0.7146356845 0.2175691445   13.7978573239 14.3082475611   13.5013238297 12.5164404978   13.2002204801 12.3969076348   3.5197142291 2.9583817810   -0.3415399050 0.7029597132   12.6266284550 13.6391397481   13.6911847193 12.5259546451   12.0232358141 13.4267796589   3.3293666664 3.5679520065   14.0064807217 16.0050580686   -0.0700513026 -1.8234657702   13.7223499852 11.9171882846   2.9079126206 4.7169049858   10.0227601424 8.5684490381   3.8348234995 3.0083655019   14.3686381385 13.4588702316   3.1034509013 2.8176831925   12.5674911383 11.3486632499   6.9753419400 5.4376301807   16.1264107232 15.5800725493   10.9779539044 8.9107537882   4.9840022633 2.7347207621   14.1748272345 14.8613159812   2.8414740433 3.3918748602   7.9802642349 6.3224007587   10.2591610844 9.0960024888   4.3272818335 3.6098777504   11.5417751591 11.8222448566   17.4927076897 15.1363873334   6.6989251521 5.2541827172   11.1006969020 9.6197412965   1.8383421798 2.2770390816   14.5784856105 12.4377866296   2.0170111477 2.2164122690   -0.1564066224 0.6066149263   9.7846164918 11.0247853339   -0.2424967735 -0.3839031353   3.1277516930 2.8469404409   15.9339743205 15.5033580320   5.1855778688 4.8596019343   4.5360197409 2.4002447232   2.5810425173 3.9018876227   13.2443360395 13.5202398839   0.5807956889 0.7341972091   2.8251826812 2.9699471471   1.9599535010 3.5424500870   10.7823154142 12.0823045373   2.5071652565 3.1122141163   13.1342269777 12.8493648272   -0.7551685240 -1.0764733876   12.5353489535 13.2230049383   15.7301858323 15.1382624659   -0.4721803293 0.4296430295   13.1297591616 12.1921663542   6.1732028609 5.7626047883   15.3442003812 17.8083568886   2.5538876153 2.0250649449   2.7772277118 2.5353366362   2.8182737416 2.8399622197   6.9940709208 6.0806003474   16.0481257229 16.0355500299   5.3423879843 6.3407947662   14.0961969115 12.8344880415   5.3413722696 7.8949167693   10.2478377357 12.7911043628   1.7540322599 1.9817423897   13.2360239810 12.4728814142   -0.0367063541 -0.0778348104   5.2420486650 7.0373546681   15.1106180670 15.3788517883   7.5313691236 7.3918307260   13.0393931542 12.6065677519   -0.0801380767 0.4886570894   16.7239415729 16.8737520937   5.8707477993 6.6813557166   9.1813375255 9.9643777264   14.8827792762 12.9178652410   3.4321316130 2.3738647725   10.9683447207 9.2840389785   7.6992848848 5.2937439848   16.7423952578 16.6345871974   2.3747407793 4.0598399664   

2.6074219057 3.2477521569   13.0397182905 13.8095477926   16.7295997521 15.9197847272   12.0530070943 13.1610441815   11.9277892729 13.5232864571   -1.0880460575 0.4406066355   6.5485561947 4.9434356715   0.0128900883 -0.3067782434   3.6114303681 2.5691178507   12.7068261736 14.4660770252   4.9706212689 7.1745688361   8.5241248159 9.2735311357   2.4733564269 1.4353082178   13.2624106127 11.7493818083   14.8428390843 16.3294758154   0.0311225716 0.2383504881   -1.1988323886 -0.2720480599   12.9790968156 13.2754512002   -0.4707338560 -0.5311860817   4.1261837693 2.5871623012   2.2978759468 2.8220924001   10.7745063073 8.6161472070   9.4232967169 9.1830831066   -0.1522379653 0.7058772132   12.1862239646 13.1635703917   2.1249800604 3.6477717860   -0.4225371506 0.4108786322   12.4604860337 12.7360502614   2.9085711924 3.0063944466   7.5062073930 5.6714897301   11.6133084752 13.0810352881   10.3795006748 12.8323835801   0.0146008377 0.8723196296   0.9787588940 -1.0373368578   12.3981064249 13.0899634136   1.9643147570 2.1592772202   10.7148906976 11.0366529728   2.9219525371 2.7294494136   15.1170768809 15.4909478062   3.5774310761 2.2940156039   10.3509319738 10.5714992158   6.0751626798 6.3795884454   13.7206298303 13.5125399511   -0.0659222131 -0.7663964965   6.2637000351 7.2451896815   16.2140481943 16.7036511917   9.4662849006 10.1508552211   12.9639577485 10.9958649327   13.1183146225 12.7728770826   3.5267504095 2.8426790809   13.9400766590 12.9906567173   4.7352919871 5.6930879812   8.7072545485 11.4313508776   13.4537848286 13.2955372336   0.1851044746 -0.3883947234   13.8836095653 11.9954530358   6.1668951035 6.4888893561   14.8663153832 15.9006835815   3.2475761408 3.3079935730   13.5366844981 13.0333316003   2.3372296735 2.5940131146   3.1082465780 2.4948177072   17.0586745669 17.4798308369   3.1622200602 2.7798628615   12.2813518352 14.1539815507   9.5952694736 9.2117722679   0.1490112536 0.3703125132   15.6024635838 15.4153010808   2.5128177357 2.9466238661   13.0487352479 13.9307405026   13.0334948635 13.4118803660   13.6765172721 12.1236820823   -0.1408410211 -0.5697880493   14.2662519068 16.4166588505   2.5993511800 2.6972635148   8.7399431487 10.9870602438   1.8169051749 2.9634712742   16.2663810881 16.1122860899   2.9402370810 2.5853900939   16.8320771951 15.3536717658   6.7174846588 6.2944160099   13.3956581656 13.8145230617   5.3744198640 6.7904034845   14.7912965299 12.8846861532   2.6343367194 2.8291809985   12.2886720444 10.6919246163   2.5499513571 3.6509203868   12.9119548204 13.1309887307   1.7370753650 2.2969849729   13.9428046444 11.9997728199   2.6604677104 3.1940576260   2.9647524486 2.9210909007   12.4232441249 11.3514620311   5.4147468100 6.7647285280   3.3229825657 2.8296381453   16.1612019082 16.4054734551   13.4988243727 13.1563284662   2.1368353971 2.1481283939   9.3538809241 10.1147418650   14.5496612481 16.7777106947   
