2.9269665928 3.4211597842   13.2878253495 13.6697879604   0.2758939850 0.1980690737   2.4197491459 2.1166452398   3.5705848113 3.3935641293   12.4146509426 11.6179903103   11.2421443210 9.3840299371   -0.1953195315 0.3896747548   13.1065117354 12.3488903720   5.8470961070 6.7566018191   10.6923046137 10.8885131826   9.5213902820 11.0523629879   0.3266728714 0.5925880750   9.4038303484 9.2956705783   -0.1823547393 -0.3697447739   11.9183813570 13.3013969496   2.2285595217 1.4335703828   14.5305760702 13.8083642997   13.1760837716 13.6137061669   14.7438540852 16.2043165650   5.6216217170 7.7664135057   3.3854476689 2.9777482148   11.7365312470 10.9703509349   11.1025416436 12.4097738475   4.0737478009 3.8889273044   9.4723016208 10.3846137617   0.3394112850 0.1266400592   12.4719470943 13.2447746280   0.1247937545 0.3158620117   10.8857309062 10.3156964839   1.1383775364 0.8573381488   6.2180035042 5.3178469426   8.5100214508 10.2487541712   12.6741492211 12.4260858314   1.6094913954 3.8844599193   0.1133126074 -0.8624741988   16.6652635788 15.1997766132   3.2068524299 3.3131565449   3.4985010054 3.8982204285   14.1883071939 13.1873650739   3.6752241068 4.4586970698   16.3518142297 16.4699627067   2.4684686394 3.9189619966   8.8325326065 9.8325371051   -0.2311489386 -0.3488733881   12.0703288294 11.7271665099   2.1547145664 2.2788590052   4.0479372801 3.6543777715   -0.3614594607 -1.0199516764   3.1261000022 3.0274598635   13.6952797867 12.9072490893   15.9034449789 16.3995340970   3.2369838301 1.8497478549   2.0349715159 2.7155830880   14.5042845866 15.9154890243   3.4464477937 3.6181536448   12.7162853230 13.6839445868   4.1589371093 2.1896170621   13.4092289168 12.8923460216   2.7351017617 0.4621990312   0.3636795317 -0.9591045789   0.7571723864 0.2901648312   12.7242781437 12.2967391499   -0.4066015355 -0.0941114243   9.0551847330 9.3934562532   5.2804070335 5.7135677500   3.1311358137 3.7112448707   2.8622827543 2.7387145088   9.7956603430 9.7607278182   0.6589495521 0.1669344658   15.0048488513 12.3150849233   13.4466551971 13.8915185115   15.7321547945 15.4557016960   14.5121015341 16.9818405141   -1.0888654885 -1.0060026634   13.3907494288 12.6268669071   0.6241019575 -1.1806383481   0.3344161776 -0.7684269521   6.8322521148 6.3713907260   14.0945560179 12.9323730622   15.7684080930 16.8040999727   -0.1084613075 0.2959759205   13.1004664457 12.8885661232   6.8947360381 8.0681445723   13.5851135552 13.1926876455   6.5854831074 6.0574952155   18.4870432558 16.8219208196   3.1679248536 2.7596924132   2.6355384958 2.9414226624   16.2933704972 16.1072370463   1.5456973523 4.0576939581   15.7867305981 15.0554397741   8.8683193062 9.3470038299   16.3893705878 15.2705359079   16.1557674611 13.9324713458   4.5049222532 3.0736444536   -0.3148227336 0.7392230094   1.3009516364 2.9299695207   3.3531857995 3.9140741114   8.5360258708 9.6007696860   

-0.1388162697 0.7669795072   10.8980381281 9.4935718599   13.9106421697 13.5370516072   0.6502685206 -0.0911613239   2.3062967573 3.0135577487   10.7187513453 9.4201931120   12.0071036121 13.3643254478   6.2898162825 6.6408077890   14.0751470917 12.2679179635   15.9057193104 15.9664580031   9.5410712183 10.9758261449   3.7339693897 3.6589477623   15.5925897497 16.1049221927   6.4945303366 6.2101632954   14.5145547802 11.9766586212   16.6912852291 16.1615429216   -0.4750055597 -0.7511047017   2.7028033554 3.2462083367   4.2312680519 3.3651636767   13.4759483046 14.1811271130   10.5266352351 10.7013947176   -0.4720546128 0.5287712534   16.1049531514 16.8062003204   3.6013980653 3.4085406573   11.5548325418 12.2630996052   15.2766116655 15.5625477585   8.3849012222 11.4175835370   3.1507483933 4.1235182906   14.0419726304 14.7365809954   -0.5728828822 0.9060754937   2.7865722254 2.6140940911   3.1730033259 2.4804356949   3.8752202976 2.4653673942   13.9020629246 11.8325835355   4.2350366740 1.7871384926   16.5987524092 15.2481924739   9.5292941757 10.9620379124   -0.3072378824 -0.1625828702   3.4711932686 2.8711698100   3.0490171349 2.7572121914   14.3951432616 17.2238767590   14.4369521907 14.4013290667   0.0943721584 -1.1179132406   10.2668491189 10.7614477135   16.7459105498 16.9039360543   0.5406242501 -0.4446851825   3.2690259636 3.3493839323   0.1066479456 -0.1623954120   3.0813097342 2.6300260824   10.9212895400 10.7578065415   7.6731323697 5.6112169679   10.3129267321 10.5888173841   9.6684522082 8.1100526173   1.9346118868 3.7634893219   9.4003029202 10.0016964727   0.7190861408 0.9897525035   0.8952468941 -0.2874631638   3.3796809709 2.0156367632   13.4473542821 12.6937681143   10.1306084610 8.9420918270   5.7217854672 7.6879530737   11.6799088185 13.4815938973   -1.0293881256 0.1879953759   1.1923458046 -0.4003163117   9.7300697000 10.2839827115   2.7658708524 3.2945900614   3.0844345483 3.8723054229   7.1745414443 7.1078534567   4.2326179043 2.8278049451   -0.7706729760 -0.1846199099   17.6495546722 16.1366021914   3.5275660449 3.1548090205   1.9733989214 2.2136590960   4.4549222557 5.7751096770   9.8925683790 12.4169570231   2.8909896872 3.3365627278   12.5469817859 14.0036273067   4.7592617113 5.3702830441   9.2929975294 9.9913802981   10.3748519148 10.3032130287   0.2107533713 -1.2775049940   12.6428258024 10.7223273792   3.0780463821 3.1577444077   7.0765225276 4.5276556338   2.6289572070 3.2012739693   6.4212460209 6.2725801088   4.1843065289 3.5757106309   9.2627288170 10.5387751871   0.7034134521 0.7987182168   3.9948473497 3.7269491988   12.7615366877 13.6123292315   3.8870925371 2.1529119845   6.2852064571 4.6896242948   3.6894343850 3.5495412746   13.3038484167 13.0358775369   12.2530036220 11.7994477057   2.1390715452 3.3761142599   5.2577932792 4.7734353606   13.3202002516 12.5641369948   9.1993471589 9.5674472640   

2.8497791188 4.1896038216   13.3728463531 12.0947798822   8.9902554046 11.0336031592   16.1490747392 14.8608897155   14.3257633482 15.5987097351   12.6197764886 13.4103489293   12.6757636911 14.3050915900   4.2003583838 4.6099326130   9.8462441844 11.4105549790   3.4088334907 3.0454958694   9.3933710074 10.0557018590   3.0436684254 2.4986868334   11.6417204148 12.5880976638   17.3221503252 15.8556643734   9.9479182222 10.5558283034   2.6273173673 2.9277598783   2.9475571449 3.2200241646   8.0593101694 9.5944190655   14.3049048499 12.6310857068   3.9193064154 1.9923413540   12.9758767464 13.0475184095   6.8783401499 5.6357877752   15.7591142144 15.5345059076   3.3099285991 3.5039165732   13.4368137379 14.0819931051   10.6924183905 10.5068711031   -0.3875417335 0.5085561743   3.0721941253 1.2787707653   3.4612062680 2.5827716479   12.7537322600 12.1071764134   -0.3878585101 0.6192432685   3.7577147993 2.5681630348   15.7331252948 15.0049466509   13.5078323052 13.2055760135   2.5675573123 2.9719124124   18.1870898056 17.7093611402   9.9209115016 8.7670599826   9.7617538319 10.4710503071   12.6555046767 13.6765600790   2.5593962572 4.0064495962   13.2107028179 12.2859422116   0.0200585929 -0.4409381636   13.1181848076 13.5143091213   3.4207927492 3.1003834912   10.0117825507 10.8026209713   0.3472277627 0.0872891003   10.2238302790 10.1928362336   15.1510715376 17.0420362401   -0.2782241890 1.0760219408   15.8091610065 15.3266179452   8.7786286684 9.8745185578   0.3171622565 -0.4540766066   10.1401313303 8.7156544379   12.0128326183 13.4226746019   3.6954297802 3.5052425755   12.5000991804 13.0107076597   12.9021141792 12.1304942557   10.6932171341 9.2160482141   4.9390117924 6.2337139422   1.1499104312 0.0920094966   4.1059472190 3.0883818655   10.8788869167 9.6857752015   1.4606461083 2.3485163195   11.4721256229 13.2578836566   17.5101656786 14.8463189328   18.3728498061 15.2561685852   1.2117742074 0.7925652277   2.8195842876 3.8001389244   9.4169639270 8.8251505621   7.2830854329 4.9666019772   9.6012733191 11.0211078767   8.6854488564 9.3778105621   4.2017531872 3.5936783213   12.5781231331 13.0606911844   10.3224710999 10.9705552240   3.8122277811 3.2891698140   9.0313083030 9.3315494121   0.2378385967 -0.9110720903   3.4641388599 1.8640469591   14.0057551275 12.2340935166   0.1609074974 -0.1347450424   13.0684391536 13.5458697823   11.5744905653 13.1493265720   2.0735804350 3.2981572353   12.9618247055 13.4656978114   6.4177648329 7.1022933910   9.2700671700 9.8163535697   4.6581355042 0.3768489847   14.2000130260 13.6307655323   0.1686621446 0.5194853507   3.6169943584 4.7660190509   11.1193818879 10.0144770396   0.3454878193 -0.7083336208   13.0212014166 12.0464706489   3.7971579988 2.2385286546   8.7565974263 11.1220240669   15.6324173545 16.8739430135   3.6017930728 2.7469968342   11.0039902781 10.8449269677   12.5372151764 13.0059391319   

3.4774280052 2.7886259477   0.1323395522 -1.0552542833   3.4343875855 3.5062352854   13.6026427341 12.5125965059   11.0237307885 10.4723149472   13.2190997832 12.8240714885   3.3340871758 3.0571381231   -0.7098906474 -0.5686681362   12.5509604119 13.1082899684   3.8390005741 2.6134475933   8.1478741958 9.7607255629   1.7784561971 3.2452426129   14.2557354556 14.2058250130   14.2964759773 11.4046308164   12.3219066764 12.9200769350   -0.3675746371 0.1833673874   3.1692984422 1.9377931921   2.7161478293 1.8958383065   0.3967209764 0.5649170784   10.9476357124 8.5363746372   5.4826278945 4.8469858168   0.3184214850 0.8539874087   1.8640387202 4.0731422474   12.3149739590 12.7555322630   2.8140461471 2.9678452461   10.9528308888 10.0723370721   3.9567471112 3.9840814940   3.6071739507 2.3080459233   12.5274240383 13.2752058322   10.6491530791 9.7385139839   2.3125097769 3.3987612745   2.6347671401 3.4290478658   12.1129428001 13.3713214819   12.1505747456 12.2370437416   -0.0720034869 0.7681137988   2.9157376093 3.1264060681   3.5066586266 3.9734650260   11.7967504306 13.4883500532   15.3864669753 15.3251371525   -0.1486320103 0.3354493954   10.6049056897 10.9185513282   9.3885821799 10.3198622087   13.2032341390 11.6227169801   3.3789407477 2.8133885345   9.9138412547 10.0132884308   9.8631404291 8.7771467343   4.1604322181 7.4837253401   -0.4206882522 0.0109885184   5.1011997531 6.8047127496   14.2581487115 16.3293136301   8.7478861469 11.4993758331   15.6489431054 16.6970176329   4.1149723176 1.4662886022   9.5841615077 10.1075168654   5.9739554440 6.8071448964   9.6833388981 9.9691431902   6.1162629154 5.6174293484   2.2882453460 3.4111911638   3.4443662345 1.9631392075   12.5050196899 12.5536030043   -0.2306799973 -0.0973633871   14.1323415541 13.5165302254   0.9338045693 -0.4110786890   13.5621759404 13.1654781196   2.6506307541 3.2726719766   13.5307680531 12.5912977752   -1.0271841110 0.7311350778   14.2976872121 13.0074963492   1.7416946986 2.3215664818   0.9133097462 -0.8624284824   2.3595848567 3.0510634864   2.5550788412 2.8956646153   13.6560524391 14.3101880807   0.4138398161 0.3106032495   15.9837550403 14.8778716299   9.7525372180 9.5590293015   -0.5497191248 -0.4444676662   12.9710175670 13.7086149146   13.9553819505 17.0826778028   12.0551090611 12.2122371146   1.9390686176 3.4579968020   16.0740213582 15.0396776895   2.6567801893 3.7523854151   3.7332115630 1.7267064512   9.9537318015 8.4269464545   3.0517752597 2.5059017113   12.0547837899 12.2330727898   6.5865955946 6.3145887889   11.7051653719 12.6462465110   0.5555392334 0.6267932320   2.0323133173 2.2267647594   10.4544293377 13.1956427559   12.8957035581 13.3948693665   0.0192706807 -0.4172603921   5.3842982897 5.2943700311   5.7546018999 6.4243278634   2.1557412412 2.9947659495   -0.3383789554 0.2751341039   0.2975797277 0.2961504581   13.8149914627 13.5712598146   

6.5069015463 7.4497228594   14.3967400183 12.6004775561   9.3062146249 9.4951824495   2.5628465714 4.3993052909   11.5132332427 11.1964315112   6.1553579864 6.7770678453   3.9017508616 4.1779268717   3.9378594805 3.3723099676   14.4487626477 12.5753242250   11.5204978205 12.0666158136   10.3877464388 8.7034677386   16.9679347248 16.5582117427   2.2976236446 3.3734098076   2.0415722285 3.7427999089   7.2265969446 6.8712962616   2.6016761820 2.4692177322   0.2443912659 -0.4709381850   -0.8731906437 0.7725993246   2.6038387601 2.9093834905   9.7131746177 9.7681886679   13.3037204753 12.9597217201   10.5421666621 9.0824255355   0.5833241168 -0.5479202122   9.2754197967 9.6083133400   12.6818316395 13.8682279022   12.2454224908 12.4413314491   9.8925953872 10.1959024669   11.6523828917 11.8814116451   1.3499345443 0.2860411229   15.7655385674 15.2762708525   10.8130396608 8.7605769769   10.5992045152 9.9086188637   5.9072269141 5.2497677272   15.1060913338 13.6597374410   10.8228434836 10.8571124141   3.3298460213 1.5801119499   13.1381784752 11.1472342622   0.7691204003 -0.3063201795   -0.6105699514 0.1159877828   1.5836662060 0.5656082419   10.2952470090 9.8847445316   15.9556231328 15.2016037029   12.2341950976 13.3012261990   4.1377992567 2.8619824663   4.8338212649 5.8533692102   2.4022532665 3.0563676489   12.1985025558 13.6489952529   12.3414671803 13.3841373141   3.9731605071 3.4497613832   0.3015654650 0.3628571299   10.1191723708 10.3048293846   -0.0424064297 0.3349027348   12.2359931676 12.5609832778   3.1147767704 3.1334929314   2.2345773833 2.7680192209   11.8203588499 14.1774002768   1.0249497853 0.4749995009   2.9583409196 3.5341415296   2.2497813386 3.0977775775   14.4380409203 12.3162076696   3.4545202940 3.2445980101   11.6606624558 11.5007003235   12.5851000216 14.4632138656   2.6307549729 3.2325911198   13.2299870590 14.4593862914   2.8979211937 3.7226046459   2.7858147745 2.6965002281   15.3708940626 16.2556148289   12.5173369245 13.7798973195   13.3663441508 13.2193156994   -0.3586163983 1.0391542733   11.8807911875 13.1035977268   0.0799701631 0.8687686762   12.4629834312 12.7469847368   2.9326216285 2.8855608608   16.4409703965 15.5788641485   9.0086502690 11.1735407119   4.5263944454 2.1232830144   9.1962460715 11.0914326685   6.5763013780 6.3920750110   15.0529353507 15.9725886385   3.0051464124 3.0483224528   16.3196657023 14.2830172168   3.0933217643 4.4701002892   11.1883842637 9.7493562184   6.7989950573 4.8997940997   3.5226123796 3.3631356472   3.2909025093 2.1236532336   10.2027091521 10.0077767977   14.4057199304 11.1782370353   -0.6057870045 0.2278908502   0.2387131289 0.3125656170   3.0770098460 4.2112170516   9.6090072010 9.5001440695   9.9978585370 9.8043786930   13.0588864082 12.2161094314   10.6652184208 8.5747836666   0.1151307351 -0.1077351785   0.6477001742 -0.3140850969   15.7896067195 16.0217383824   

2.7605782348 2.4331689478   10.8027822403 10.3897213514   2.5963311234 3.1509743868   12.6587333903 12.5663226325   9.4704465802 10.3821471314   3.6978297457 3.6238010311   11.2374654571 13.2785664324   0.2768638005 -0.0045681173   10.2207443071 10.5821469563   0.1566439255 -0.2301371903   13.0744175842 13.0809340191   4.4382471076 6.5669497437   3.3365928393 1.8268872058   -0.9842412590 0.8676466173   13.3455467123 11.9650326314   0.3344302041 0.2163714952   -0.7207719498 -0.8003294148   16.9206527510 15.8048846277   9.0103027451 8.6987523120   12.6663301416 12.6889735386   -0.2458895888 -0.9849633529   10.0926346402 11.4270556199   5.3285056132 5.0180427526   0.6528889224 0.1253021499   11.0329957265 10.4581673918   -0.0851940052 -1.1570093823   9.9342986600 9.9034188901   0.0151822090 0.9301873568   12.6007948634 12.9393904939   5.7852331989 6.8499694718   3.2600227359 2.5146489060   15.1285628626 16.7610332631   -0.0466515495 1.1662751469   1.4244598371 2.2774444339   12.9075765170 11.9905342882   0.0461296776 -0.7049811777   13.7336466219 13.2071491464   3.3036064846 2.6405056972   17.3782404327 15.7800422515   15.8363306409 16.3521894362   13.3239767960 12.8517470546   10.1032944366 8.8559439528   10.0013583325 9.2984813962   8.3649116801 10.9980099355   1.9319589638 3.5734105931   2.9000538602 3.3371295027   12.8400500149 13.6491409224   16.6399973192 16.4909056192   4.4620874104 2.9294594085   1.1418725980 0.0845331001   0.7260045262 0.7297812439   13.4341188826 14.6105377382   10.2355235010 9.2106977672   2.9369407790 4.0486533774   13.9031893736 12.9101282441   0.2507303107 -0.3458376813   14.2586560410 13.7298260138   5.0191873947 1.9459570490   2.1444784458 4.0585726264   12.4321556602 12.9730109651   10.3053792820 10.1680692468   2.4114812571 2.6989542618   14.3950433649 13.1357511870   1.8815468739 3.0682793319   4.1644146837 2.9246997739   13.6506750942 11.9474868928   12.9023919333 12.3272544836   12.3100733300 12.2063621002   3.2710990481 3.5724218199   0.2665789439 -0.4911571675   12.6614459744 13.0690386559   13.6280507293 13.3279403640   6.9462192645 7.1833841156   17.4042020107 16.4897584652   10.3511439222 10.9459156380   0.2719092267 -0.7089148224   11.7821116672 13.9643348610   0.2997735995 0.4569749281   15.9560135367 15.6526308806   3.6652128398 2.4593736263   15.9266591958 16.1005888346   13.8620229037 13.5939413695   7.8434075384 6.5158631673   6.1860290262 6.6148246525   0.0616734255 -0.5167061437   12.1781106130 13.3075596637   14.3782299167 17.8127962119   11.4726931604 12.3748381122   11.9519124703 14.4115040543   0.8774679410 -0.1464275195   13.0441862865 11.2646366282   -0.6957677764 -0.7508996930   15.7613718890 16.1431907934   5.5350555807 5.4340100761   16.0730540238 16.0263548006   -1.1075600340 0.2950796422   15.2688061311 14.4407951317   6.4613679573 7.1207143053   8.7368360086 10.3462492680   12.1654114072 13.5610710115   
